category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Loops	nla-digbench	divbin.yml	False	false(unreach-call)	4.19726265	36.544512	false(unreach-call)	4.208441249	36.192256	false(unreach-call)	4.203523621	37.167104
ReachSafety-Loops	nla-digbench	dijkstra-u.yml	True	TIMEOUT	901.09864673	397.791232	TIMEOUT	901.052944404	412.479488	TIMEOUT	901.013543716	429.678592
ReachSafety-Loops	nla-digbench	divbin2.yml	True	TIMEOUT	901.010937566	85.87264	TIMEOUT	900.943561809	82.366464	TIMEOUT	900.957934327	77.647872
ReachSafety-Loops	nla-digbench	knuth.yml	True	TIMEOUT	901.040725104	111.824896	TIMEOUT	901.014945273	118.378496	TIMEOUT	901.009495922	110.211072
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound2.yml	True	true	0.401834507	33.984512	true	0.267829726	33.9968	true	0.371767985	34.65216
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound10.yml	True	true	8.279825736	66.08896	true	7.729389585	65.753088	true	8.104431918	64.651264
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound1.yml	True	true	0.315938255	33.415168	true	0.24231832	33.374208	true	0.295773592	34.197504
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound5.yml	True	true	0.424651619	34.336768	true	0.317996094	34.193408	true	0.357677732	35.00032
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound10.yml	True	true	0.634989306	35.749888	true	0.625670563	35.84	true	0.670507857	36.139008
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound5.yml	True	true	0.628130641	35.844096	true	0.566467366	35.86048	true	0.673289225	36.2496
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound20.yml	False	false(unreach-call)	4.539246445	36.765696	false(unreach-call)	4.71681147	36.777984	false(unreach-call)	4.596317869	37.310464
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound100.yml	True	true	3.406003599	39.182336	true	3.748071313	39.292928	true	3.832831773	39.81312
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound20.yml	True	true	1.052530511	37.31456	true	1.238939894	37.376	true	1.235258972	37.863424
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound20.yml	True	true	0.568912602	36.286464	true	0.610261173	36.274176	true	0.63968153	36.773888
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound50.yml	True	true	1.253826984	36.409344	true	1.413729291	36.347904	true	1.494943675	36.84352
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound2.yml	True	true	0.277059191	33.452032	true	0.315613076	33.460224	true	0.337236065	34.230272
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound100.yml	True	true	0.949025715	38.055936	true	1.04664726	37.330944	true	1.111419056	37.86752
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound10.yml	True	true	0.37638616	34.275328	true	0.376075164	34.177024	true	0.416037888	34.881536
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound50.yml	True	true	0.664643878	35.991552	true	0.691229711	35.958784	true	0.709166325	36.380672
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound2.yml	True	true	0.232827723	33.44384	true	0.240243036	33.42336	true	0.294877249	34.172928
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound5.yml	True	true	9.435867369	39.58784	true	9.363401388	38.453248	true	9.774562922	39.071744
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound1.yml	True	true	0.268203451	33.370112	true	0.208689333	33.36192	true	0.249229241	34.22208
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound1.yml	True	true	0.232730903	33.431552	true	0.23965972	33.40288	true	0.258887628	34.144256
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound2.yml	True	true	0.286394687	33.419264	true	0.216461439	33.415168	true	0.240900865	34.2016
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound100.yml	False	false(unreach-call)	4.431044079	37.093376	false(unreach-call)	4.628419051	37.183488	false(unreach-call)	4.512618413	37.711872
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound10.yml	False	false(unreach-call)	4.834367073	36.82304	false(unreach-call)	4.676960083	37.019648	false(unreach-call)	4.738780665	37.298176
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound10.yml	True	TIMEOUT	901.013279704	108.367872	TIMEOUT	901.011916981	119.119872	TIMEOUT	900.990919713	115.67104
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound50.yml	False	false(unreach-call)	4.554275095	37.199872	false(unreach-call)	4.409324476	37.113856	false(unreach-call)	4.564351651	37.699584
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound50.yml	True	TIMEOUT	900.971110902	109.432832	TIMEOUT	900.992590011	114.638848	TIMEOUT	901.003520917	114.01216
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound1.yml	True	TIMEOUT	900.960532035	112.861184	TIMEOUT	900.958505104	116.473856	TIMEOUT	900.941857754	120.6272
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound20.yml	True	TIMEOUT	900.977541609	113.291264	TIMEOUT	900.947696753	121.008128	TIMEOUT	900.942322823	111.771648
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound2.yml	True	TIMEOUT	900.976557594	116.38784	TIMEOUT	901.010079244	113.803264	TIMEOUT	900.999577479	113.250304
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound5.yml	True	TIMEOUT	901.034482565	111.640576	TIMEOUT	900.956633884	109.6704	TIMEOUT	900.950918592	112.51712
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound100.yml	True	TIMEOUT	901.000440898	120.254464	TIMEOUT	900.993477702	111.169536	TIMEOUT	900.985653479	113.3568
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound5.yml	True	true	1.77358847	45.694976	true	1.711279062	45.871104	true	1.777106092	46.768128
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound100.yml	True	true	68.119653113	91.131904	true	65.791190381	91.111424	true	64.016747215	89.419776
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound20.yml	True	true	10.703349289	68.132864	true	9.238065462	68.632576	true	9.149882643	69.009408
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound50.yml	True	true	30.631848278	86.437888	true	29.820453402	86.91712	true	29.587157899	89.071616
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound1.yml	True	true	0.310786279	34.349056	true	0.317384571	34.42688	true	0.317399938	34.89792
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound100.yml	True	true	18.238374662	112.57856	true	18.06433469	112.566272	true	17.795304013	113.119232
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound50.yml	True	true	19.512427448	113.152	true	18.988194003	113.106944	true	18.95962264	113.60256
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound20.yml	True	true	15.197720943	113.717248	true	14.966514835	113.78688	true	15.061642403	114.286592
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound10.yml	True	true	2.186883696	58.830848	true	2.221941608	58.810368	true	2.217307521	59.305984
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound5.yml	True	true	2.142861775	58.79808	true	2.098924236	58.79808	true	1.990598419	59.26912
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound50.yml	False	TIMEOUT	901.015642343	425.181184	TIMEOUT	900.955110098	423.059456	TIMEOUT	901.023747039	448.876544
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound20.yml	False	TIMEOUT	900.976990147	436.432896	TIMEOUT	900.963736533	431.611904	TIMEOUT	900.946559144	432.078848
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound10.yml	False	false(unreach-call)	54.210329148	191.913984	false(unreach-call)	56.147779838	192.45056	false(unreach-call)	54.078647603	193.024
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound100.yml	False	TIMEOUT	900.95837719	426.627072	TIMEOUT	901.025127147	451.919872	TIMEOUT	900.961878778	423.645184
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound5.yml	False	false(unreach-call)	12.792458511	113.58208	false(unreach-call)	12.442161296	113.647616	false(unreach-call)	12.491992309	114.212864
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound2.yml	True	true	0.987111864	58.744832	true	1.105464776	58.802176	true	1.119863273	59.277312
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound1.yml	True	true	1.013575671	58.826752	true	1.049682605	58.810368	true	1.052334785	59.285504
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound2.yml	True	true	1.471451198	51.58912	true	1.399498401	51.572736	true	1.361530007	52.170752
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound50.yml	True	true	815.600857828	92.479488	true	834.720362588	90.529792	true	803.046067887	88.031232
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound20.yml	True	true	17.075099805	51.073024	true	19.048435757	55.263232	true	18.871959393	55.840768
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound5.yml	True	true	0.655209594	36.352	true	0.755696538	36.237312	true	0.806861208	36.732928
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound100.yml	True	TIMEOUT	900.984169662	83.423232	TIMEOUT	900.95080215	83.931136	TIMEOUT	900.988496566	92.082176
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound10.yml	True	true	1.775418983	40.87808	true	2.219915039	40.890368	true	2.207394952	41.443328
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound2.yml	True	true	0.229126047	33.419264	true	0.223386796	33.427456	true	0.303790573	34.091008
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound1.yml	True	true	0.276092447	33.779712	true	0.234596054	33.767424	true	0.311080615	34.598912
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound1.yml	True	true	0.225752814	33.23904	true	0.202325835	33.23904	true	0.261810412	34.103296
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin.yml	False	false(unreach-call)	5.98615731	38.014976	false(unreach-call)	5.915791074	38.866944	false(unreach-call)	6.021704847	39.268352
ReachSafety-Recursive	recursified_nla-digbench	recursified_dijkstra-u.yml	True	TIMEOUT	901.016497573	391.299072	TIMEOUT	901.012368904	377.2416	TIMEOUT	901.01806768	353.841152
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin2.yml	True	TIMEOUT	900.985902943	89.452544	TIMEOUT	900.98616304	84.979712	TIMEOUT	900.983489819	85.327872
ReachSafety-Recursive	recursified_nla-digbench	recursified_knuth.yml	True	TIMEOUT	900.945414935	116.404224	TIMEOUT	901.00488889	117.075968	TIMEOUT	900.93093316	117.57568
